iter	Passed	Remaining
0	1	271
1	2	209
2	2	187
3	3	175
4	4	166
5	4	161
6	5	157
7	6	153
8	7	150
9	7	148
10	8	146
11	9	144
12	10	144
13	11	147
14	11	146
15	12	144
16	13	144
17	14	144
18	15	147
19	16	148
20	17	147
21	18	146
22	18	145
23	19	145
24	20	144
25	21	143
26	22	142
27	23	141
28	23	141
29	24	140
30	25	140
31	26	140
32	27	140
33	28	139
34	29	139
35	30	138
36	31	138
37	32	137
38	33	136
39	34	136
40	34	135
41	35	134
42	36	134
43	37	133
44	38	132
45	39	130
46	40	130
47	41	129
48	42	130
49	43	129
50	43	128
51	44	127
52	45	126
53	46	125
54	47	124
55	48	124
56	49	123
57	50	122
58	50	121
59	51	120
60	52	119
61	53	118
62	53	117
63	54	116
64	55	115
65	56	114
66	57	113
67	58	113
68	59	112
69	60	111
70	61	111
71	62	110
72	63	110
73	64	110
74	66	110
75	67	109
76	68	109
77	69	108
78	70	107
79	71	107
80	72	106
81	73	106
82	74	105
83	75	104
84	76	103
85	77	102
86	78	101
87	78	100
88	80	99
89	81	99
90	82	98
91	83	97
92	84	96
93	85	96
94	86	95
95	87	94
96	88	94
97	89	93
98	90	92
99	91	91
100	92	90
101	93	89
102	94	88
103	95	87
104	96	87
105	97	86
106	98	85
107	99	84
108	100	83
109	101	82
110	102	82
111	103	81
112	104	80
113	105	79
114	106	78
115	106	77
116	107	76
117	108	75
118	109	74
119	110	73
120	111	72
121	112	71
122	113	70
123	114	69
124	115	69
125	115	68
126	116	67
127	117	66
128	118	65
129	119	64
130	120	63
131	121	62
132	122	61
133	123	60
134	124	59
135	125	59
136	126	58
137	127	57
138	128	56
139	129	55
140	130	54
141	130	53
142	131	52
143	132	51
144	134	50
145	135	50
146	136	49
147	137	48
148	138	47
149	139	46
150	140	45
151	141	44
152	142	43
153	143	42
154	144	41
155	144	40
156	145	39
157	146	38
158	147	38
159	148	37
160	149	36
161	150	35
162	151	34
163	152	33
164	153	32
165	154	31
166	155	30
167	155	29
168	156	28
169	157	27
170	158	26
171	159	25
172	160	25
173	161	24
174	162	23
175	164	22
176	165	21
177	166	20
178	166	19
179	167	18
180	168	17
181	169	16
182	170	15
183	170	14
184	171	13
185	172	12
186	173	12
187	174	11
188	174	10
189	175	9
190	176	8
191	177	7
192	177	6
193	179	5
194	179	4
195	180	3
196	181	2
197	182	1
198	183	0
199	184	0
